,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
455,TIGER SHARK,10/8/2016,Townsville,Radical Bay,-19°6.51,146°52.63,2.5,23,August,Wednesday
456,TIGER SHARK,14/8/2016,Bundaberg,Kellys Beach,-24°49.62,152°28.26,2.37,17,August,Sunday
457,TIGER SHARK,22/8/2016,Townsville,Alma Bay,-19°9.11,146°52.46,2.35,23,August,Monday
458,TIGER SHARK,22/8/2016,Townsville,Horseshoe Bay,-19°6.84,146°50.9,2,23,August,Monday
459,TIGER SHARK,26/8/2016,Cairns,Ellis Beach,-16°43.23,145°38.91,2.6,22,August,Friday
460,TIGER SHARK,29/8/2016,Townsville,Florence Bay,-19°7.35,146°53.11,1.13,23,August,Monday
461,TIGER SHARK,2/9/2016,Gold Coast,Rainbow Bay,-28°9.31,153°32.45,3.5,20,September,Friday
462,TIGER SHARK,4/9/2016,Bundaberg,Kellys Beach,-24°49.4,152°28.32,1.56,19,September,Sunday
463,TIGER SHARK,6/9/2016,Bundaberg,Kellys Beach,-24°48.19,152°28.32,2.26,19,September,Tuesday
464,TIGER SHARK,9/9/2016,Townsville,Horseshoe Bay,-19°6.26,146°51.56,2.3,24,September,Friday
465,TIGER SHARK,11/9/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,3.4,24,September,Sunday
466,TIGER SHARK,11/9/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.8,24,September,Sunday
467,TIGER SHARK,14/9/2016,Bundaberg,Neilson Park,-24°48.4,152°27.91,3.2,20,September,Wednesday
468,TIGER SHARK,14/9/2016,Nth Stradbroke Is.,Cylinder Beach,-27°25.23,153°32.21,3.5,21,September,Wednesday
469,TIGER SHARK,16/9/2016,Mackay,Harbour Beach,-21°7.01,149°13.69,2.8,23,September,Friday
470,TIGER SHARK,16/9/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,3.2,23,September,Friday
471,TIGER SHARK,16/9/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.7,23,September,Friday
472,TIGER SHARK,17/9/2016,Townsville,Florence Bay,-19°7.35,146°53.11,1.4,26,September,Saturday
473,TIGER SHARK,18/9/2016,Nth Stradbroke Is.,Ocean Beach,-27°27.29,153°32.36,3.9,21,September,Sunday
474,TIGER SHARK,19/9/2016,Rainbow Beach,Rainbow Beach,-25°53.71,153°5.94,3.65,22,September,Monday
475,TIGER SHARK,19/9/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,3.55,27,September,Monday
476,TIGER SHARK,20/9/2016,Bundaberg,Kellys Beach,-24°49.55,152°28.29,1.42,21,September,Tuesday
477,TIGER SHARK,22/9/2016,Mackay,Harbour Beach,-21°7.14,149°13.66,2.2,23,September,Thursday
478,TIGER SHARK,24/9/2016,Sunshine Coast North,Noosa,-26°22.2,153°6.55,2.85,20,September,Saturday
479,TIGER SHARK,27/9/2016,Sunshine Coast North,Noosa,-26°22.23,153°6.49,3.21,23,September,Tuesday
480,TIGER SHARK,29/9/2016,Sunshine Coast North,Sunshine Beach,-26°24.43,153°7.03,2.51,23,September,Thursday
481,TIGER SHARK,30/9/2016,Bundaberg,Kellys Beach,-24°49.62,152°28.26,2.76,21,September,Friday
482,TIGER SHARK,1/10/2016,Capricorn Coast,Emu Park,-23°15.16,150°50.08,3.65,23,October,Saturday
483,TIGER SHARK,1/10/2016,Gold Coast,Broadbeach,-28°1.16,153°26.22,3.04,18,October,Saturday
484,TIGER SHARK,1/10/2016,Capricorn Coast,Emu Park,-23°15.16,150°50.08,3.65,23,October,Saturday
485,TIGER SHARK,1/10/2016,Gold Coast,Broadbeach,-28°1.16,153°26.22,3.04,18,October,Saturday
486,TIGER SHARK,5/10/2016,Nth Stradbroke Is.,Cylinder Beach,-27°25.02,153°30.88,2.8,20,October,Wednesday
487,TIGER SHARK,7/10/2016,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.75,22,October,Friday
488,TIGER SHARK,7/10/2016,Sunshine Coast North,Noosa,-26°22.19,153°6.59,2.54,21,October,Friday
489,TIGER SHARK,7/10/2016,Sunshine Coast North,Noosa,-26°22.2,153°6.55,3.34,21,October,Friday
490,TIGER SHARK,8/10/2016,Townsville,Radical Bay,-19°6.54,146°52.68,3.5,26,October,Saturday
491,TIGER SHARK,17/10/2016,Capricorn Coast,Kemp Beach,-23°10.13,150°47.69,3.46,23,October,Monday
492,TIGER SHARK,18/10/2016,Nth Stradbroke Is.,Ocean Beach,-27°27.29,153°32.36,3.1,21,October,Tuesday
493,TIGER SHARK,19/10/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2,24,October,Wednesday
494,TIGER SHARK,19/10/2016,Mackay,Harbour Beach,-21°7.2,149°13.65,2.2,24,October,Wednesday
495,TIGER SHARK,19/10/2016,Rainbow Beach,Rainbow Beach,-25°53.66,153°5.91,3.15,22,October,Wednesday
496,TIGER SHARK,21/10/2016,Mackay,Harbour Beach,-21°7.1,149°13.68,2.1,25,October,Friday
497,TIGER SHARK,22/10/2016,Sunshine Coast North,Hyatt Regency Resort,-26°33.52,153°6.27,3.76,23,October,Saturday
498,TIGER SHARK,26/10/2016,Cairns,Ellis Beach,-16°43.3,145°39.01,3.1,26,October,Wednesday
499,TIGER SHARK,28/10/2016,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.3,25,October,Friday
500,TIGER SHARK,28/10/2016,Sunshine Coast North,Sunrise Beach,-26°25.04,153°6.98,2.45,23,October,Friday
501,TIGER SHARK,31/10/2016,Nth Stradbroke Is.,Cylinder Beach,-27°25.02,153°30.88,3,22,October,Monday
502,TIGER SHARK,5/11/2016,Townsville,Radical Bay,-19°6.51,146°52.63,1.4,28,November,Saturday
503,TIGER SHARK,5/11/2016,Townsville,Radical Bay,-19°6.49,146°52.59,2.15,28,November,Saturday
504,TIGER SHARK,9/11/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.2,25,November,Wednesday
505,TIGER SHARK,9/11/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.3,25,November,Wednesday
506,TIGER SHARK,9/11/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,1.6,25,November,Wednesday
507,TIGER SHARK,12/11/2016,Bundaberg,Kellys Beach,-24°49.25,152°28.33,2.1,24,November,Saturday
508,TIGER SHARK,15/11/2016,Bundaberg,Bargara,-24°48.65,152°27.99,2.73,24,November,Tuesday
509,TIGER SHARK,19/11/2016,Townsville,Horseshoe Bay,-19°6.67,146°50.54,2.55,28,November,Saturday
510,TIGER SHARK,24/11/2016,Mackay,Harbour Beach,-21°7.28,149°13.56,2,25,November,Thursday
511,TIGER SHARK,24/11/2016,Townsville,Florence Bay,-19°7.39,146°53.11,3,28,November,Thursday
512,TIGER SHARK,3/12/2016,Townsville,Alma Bay,-19°8.97,146°52.41,1.7,28,December,Saturday
513,TIGER SHARK,4/12/2016,Bundaberg,Neilson Park,-24°48.16,152°27.67,3.28,25,December,Sunday
514,TIGER SHARK,9/12/2016,Cairns,Holloways Beach,-16°49.89,145°44.91,2.3,29,December,Friday
515,TIGER SHARK,17/12/2016,Bundaberg,Kellys Beach,-24°49.11,152°28.3,1.82,25,December,Saturday
516,TIGER SHARK,17/12/2016,Rainbow Beach,Rainbow Beach,-25°54.02,153°5.99,2.47,25,December,Saturday
517,TIGER SHARK,17/12/2016,Townsville,Horseshoe Bay,-19°6.26,146°51.56,3.1,29,December,Saturday
518,TIGER SHARK,25/12/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,0.88,28,December,Sunday
519,TIGER SHARK,25/12/2016,Mackay,Harbour Beach,-21°7.28,149°13.56,2,27,December,Sunday
520,TIGER SHARK,27/12/2016,Gold Coast,Kirra Beach,-28°9.3,153°32.02,2.5,24,December,Tuesday
521,TIGER SHARK,30/12/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.95,30,December,Friday
522,TIGER SHARK,30/12/2016,Townsville,Horseshoe Bay,-19°6.8,146°50.79,3,30,December,Friday
523,TIGER SHARK,31/12/2016,Townsville,Nelly Bay,-19°10.05,146°51.21,3.5,31,December,Saturday
524,UNKNOWN SHARK,9/1/2016,Bundaberg,Kellys Beach,-24°49.71,152°28.24,2,25,January,Saturday
525,UNKNOWN SHARK,1/2/2016,Bundaberg,Neilson Park,-24°48.16,152°27.67,2,26,February,Monday
526,WHITE SHARK,6/7/2016,Gold Coast,North Burleigh Beach,-28°4.17,153°27.12,2.5,19,July,Wednesday
527,WHITE SHARK,12/7/2016,Gold Coast,Rainbow Bay,-28°9.32,153°33.03,3.14,20,July,Tuesday
528,WHITE SHARK,18/8/2016,Gold Coast,Main Beach,-27°58.24,153°26.07,1.6,21,August,Thursday
529,WHITE SHARK,4/9/2016,Gold Coast,Miami Beach,-28°4,153°27.04,2.1,19,September,Sunday
530,WHITE SHARK,27/8/2016,Nth Stradbroke Is.,Cylinder Beach,-27°25.21,153°31.63,2.3,21,August,Saturday
531,WHITE SHARK,2/9/2016,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.89,1.61,21,September,Friday
532,ZEBRA SHARK,3/2/2016,Gold Coast,Kirra Beach,-28°9.3,153°32.02,2,22,February,Wednesday
533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
