,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
111,BULL WHALER,24/12/2016,Capricorn Coast,Mulambin Beach,-23°13.57,150°49.45,0.91,26,December,Saturday
112,BULL WHALER,31/12/2016,Capricorn Coast,Tanby Point,-23°13.78,150°49.48,0.78,26,December,Saturday
113,COMMON BLACKTIP WHALER,3/1/2016,Gladstone,Tannum Sands,-23°56.87,151°22.84,1.4,26,January,Sunday
114,COMMON BLACKTIP WHALER,10/2/2016,Gladstone,Tannum Sands,-23°56.98,151°22.96,1,29,February,Wednesday
115,COMMON BLACKTIP WHALER,12/2/2016,Gladstone,Tannum Sands,-23°56.98,151°22.96,1.2,27,February,Friday
116,COMMON BLACKTIP WHALER,12/2/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1,27,February,Friday
117,COMMON BLACKTIP WHALER,17/2/2016,Gladstone,Tannum Sands,-23°56.77,151°22.75,1.1,28,February,Wednesday
118,COMMON BLACKTIP WHALER,22/2/2016,Gladstone,Tannum Sands,-23°57.03,151°23.04,0.8,28,February,Monday
119,COMMON BLACKTIP WHALER,29/2/2016,Gladstone,Tannum Sands,-23°56.62,151°22.58,0.95,28,February,Monday
120,COMMON BLACKTIP WHALER,3/3/2016,Rainbow Beach,Rainbow Beach,-25°53.71,153°5.94,1.65,26,March,Thursday
121,COMMON BLACKTIP WHALER,16/3/2016,Gladstone,Tannum Sands,-23°56.87,151°22.84,1.1,27,March,Wednesday
122,COMMON BLACKTIP WHALER,20/3/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.25,27,March,Sunday
123,COMMON BLACKTIP WHALER,25/3/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.1,27,March,Friday
124,COMMON BLACKTIP WHALER,26/3/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1,27,March,Saturday
125,COMMON BLACKTIP WHALER,9/4/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,0.95,28,April,Saturday
126,COMMON BLACKTIP WHALER,12/4/2016,Gladstone,Tannum Sands,-23°56.62,151°22.58,0.9,26,April,Tuesday
127,COMMON BLACKTIP WHALER,20/4/2016,Gladstone,Tannum Sands,-23°56.98,151°22.96,1.3,25,April,Wednesday
128,COMMON BLACKTIP WHALER,6/5/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.3,25,May,Friday
129,COMMON BLACKTIP WHALER,21/5/2016,Gladstone,Tannum Sands,-23°56.22,151°22.46,1.4,26,May,Saturday
130,COMMON BLACKTIP WHALER,4/6/2016,Gladstone,Tannum Sands,-23°56.68,151°22.67,1.2,22,June,Saturday
131,COMMON BLACKTIP WHALER,8/6/2016,Gladstone,Tannum Sands,-23°56.82,151°22.78,1.1,21,June,Wednesday
132,COMMON BLACKTIP WHALER,16/6/2016,Townsville,Alma Bay,-19°9.02,146°52.43,1.3,24,June,Thursday
133,COMMON BLACKTIP WHALER,16/6/2016,Townsville,Florence Bay,-19°7.35,146°53.11,1.2,24,June,Thursday
134,COMMON BLACKTIP WHALER,22/6/2016,Gladstone,Tannum Sands,-23°56.91,151°22.9,1.1,20,June,Wednesday
135,COMMON BLACKTIP WHALER,18/8/2016,Gladstone,Tannum Sands,-23°56.91,151°22.9,0.9,19,August,Thursday
136,COMMON BLACKTIP WHALER,18/8/2016,Gladstone,Tannum Sands,-23°57.03,151°23.04,0.85,19,August,Thursday
137,COMMON BLACKTIP WHALER,29/8/2016,Gladstone,Tannum Sands,-23°56.82,151°22.78,0.9,20,August,Monday
138,COMMON BLACKTIP WHALER,10/9/2016,Gladstone,Tannum Sands,-23°56.49,151°22.49,0.8,21,September,Saturday
139,COMMON BLACKTIP WHALER,20/9/2016,Gladstone,Tannum Sands,-23°56.91,151°22.9,0.75,23,September,Tuesday
140,COMMON BLACKTIP WHALER,17/10/2016,Townsville,Picnic Bay,-19°10.92,146°50.59,1.35,26,October,Monday
141,COMMON BLACKTIP WHALER,19/10/2016,Gladstone,Tannum Sands,-23°56.98,151°22.96,0.9,24,October,Wednesday
142,COMMON BLACKTIP WHALER,19/10/2016,Gladstone,Tannum Sands,-23°56.49,151°22.49,1,24,October,Wednesday
143,COMMON BLACKTIP WHALER,23/10/2016,Gladstone,Tannum Sands,-23°56.77,151°22.75,1.06,24,October,Sunday
